agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
NARA,National Archives and Records Administration,NARA - 0005,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,National Archives & Records Administration (NARA),Akhtar.Zaman@nara.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Other,Generative AI,The AI is intended to solve the problem of manual processing bottlenecks and privacy risks by automating the identification and redaction of sensitive personal information within massive digitized collections to ensure safe and rapid public access.,"NARA is using AI to automatically find and remove sensitive personal information from its digitized historical records. This will make the process faster, more accurate, and better protect privacy while allowing for greater public access to these records. The AI will also help NARA manage its vast collection and adapt to future privacy needs.","This AI use case will produce redacted records, a prioritized list for redaction, and a tool for staff to redact unpublished records.",2024-07-01 0:00:00,In-house Development,,No,,Agency is strictly using its data to test the pre-trained model for the purpose of prototype work. The data is publicly available at catalog.archives.gov.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
NARA,National Archives and Records Administration,NARA - 0009,Create an AI based knowledge articles user interface for working with CRG documents,National Archives & Records Administration (NARA),Akhtar.Zaman@nara.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Other,NLP,"The AI is intended to improve the case processing by providing staff with an automated retrieval tool that navigates the complex Case Reference Guide to deliver instant, accurate answers for veteran and personnel record requests.","NARA is developing an AI-powered tool to help its National Personnel Records Center (NPRC) staff quickly find information in their Case Reference Guide (CRG). This will improve the speed and accuracy of their work, leading to better customer service and less time spent training new employees.",This AI tool will give NPRC staff a user-friendly way to quickly find information in the CRG knowledge base.,2024-10-01 0:00:00,In-house Development,,No,,Agency is strictly using its internal data for the purpose of prototype work. The data is internally available at https://spdr.nara.gov/,,No,,['k) None of the above'],No,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-498,Borescope Artificial Intelligence (BAI),AFRC: Armstrong Flight Research Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Other (use other text field),Computer Vision,The BAI will aid jet engine maintainers in identifying compressor and turbine blade defects,"Advanced borescopes would lead to an increased defect capture rate in less maintenance time, keeping engines on wing longer with more confidence in their health.",The system will output areas of potential engine damage to the user to evaluate,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-901,Cloud Account Allocation Plan (CAAP) Cost Analytics Support,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Administrative functions,Classical ML,Utilize machine learning to predict and allocate Cloud Account Allocation Plan (CAAP) cost and egress limits based on past actuals.,"Automates predictions based on past performance figures, saving human time and effort and enabling more accurate cost estimates.",prediction of future cost and egress,06/01/2025 0:00:00,Contracting and In House,Raytheon,Yes,Earthdata Cloud,"on an account-by account basis, uses past cloud account incurred costs and data egress as collected in AWS via CloudFront logs.",,No,,[],Yes,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-797,AI Tool for Automatic Identification of Soliton Features in SWOT data,JPL: Jet Propulsion Laboratory,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,IT,Classical ML,Automatically detect features of Soliton for scientists to study the ocean.,Must be faster than manual analysis of the SWOT data.,Predictions.,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-798,AI Based Digital Twin Interoporability Schema,JPL: Jet Propulsion Laboratory,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Science,Reinforcement Learning,Using IEEE 2874 Spatial Web standard to implement a new Hyperspace Modeling Language (HSML) and Hyperspace Transaction Protocol (HSTP) to establish communications among heterogeneous simulation platforms.,Making collaboration of digital twins possible in different platforms.,Recommandation list.,,In-house Development,,No,,Omniverse and Unity digital twin objects data are uesed.,,No,,[],Yes,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-487,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",JSC: Johnson Space Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,"Presumed High-Impact, but Not High-impact","Digital assistant does not take any action, only gives information for a crew to act upon. Informational purposes only.",Health and Medical,Agentic AI,"A software agent that can perform tasks or services for an individual based on commands or questions. These commands can be given through text, voice, or other interfaces. DAs leverage artificial intelligence (AI), natural language processing (NLP) and machine learning (ML) to understand user requests, learn from interactions and provide increasingly personalized and accurate responses.","Improved cost savings, time savings, and process improvement in flight-related procedures related to medical conditions during flight.","Outputs recommendations for a human on possible activities to remediate medical conditions, for example while in space.",10/01/2024 0:00:00,In-house Development,,Yes,MCP GCP,Publicly available data sources related to medical conditions.,,No,,[],Yes,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-488,Data Fracking (HRP),JSC: Johnson Space Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Science,NLP,"Software systems and methods that leverage artificial intelligence methodologies to automate, enhance and streamline various processes related to documents. The core purpose of an AI document solution is to make document-driven tasks more efficient and accurate, while also providing valuable insights, all by minimizing manual labor and applying sophisticated analytical capabilities.","Improved cost savings, time savings, and process improvement in daily tasks related to scientific research.","Data related to searches performed which are pulled from input documents, including conversion from old format documents into newer formats (for example, images of documents to Excel).",10/01/2024 0:00:00,In-house Development,,Yes,"MCP GCP, Azure OpenAI",Publicly available data sources related to scientific research or daily operational procedures.,,No,,[],No,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-719,TxP: Federated Data Discovery and Content Creation (FDDCC) KDP-Formulation (ITMX),JSC: Johnson Space Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Science,Generative AI,"The FDDCC project is guided by a set of core objectives aimed at transforming how data is accessed, managed, and utilized across the agency. These objectives focus on enhancing data discoverability, ensuring secure access, improving system scalability, and fostering a user-centered experience.","NASA has amassed a significant trove of data that holds the potential to drive advancements across numerous domains. However, the organization faces significant challenges in harnessing this potential. Much of its valuable data remains trapped within isolated legacy systems, creating silos that hinder efficient access and use. This segmentation is further complicated by the dual locations of these systems – both in the cloud and on-premises – with each presenting its unique set of access challenges due to firewalls, security control boundaries and other barriers. Numerous distributed systems within NASA provide localized search functions for their specific datasets. These capabilities, which cater to both structured and unstructured data, highlight the latent potential and need for a comprehensive approach that can unify and streamline data and information access across the entire organization. By developing a unified search interface, implementing robust identity and access management, creating a comprehensive data catalog, and building a scalable infrastructure, the FDDCC project seeks to empower users to efficiently find, access, and manage data. Additionally, the project emphasizes user satisfaction through continuous feedback and iterative improvements, ensuring that the platform meets the evolving needs of the agency.",a unified search interface,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-790,JSC NC PRA Cut Set Tool,JSC: Johnson Space Center,agency-caio@mail.nasa.gov,Yes - Prohibited by Law,Pre-deployment,Not High-impact,,Science,Generative AI,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-791,JSC SMA NT Paper WAD Data Extraction,JSC: Johnson Space Center,agency-caio@mail.nasa.gov,Yes - Prohibited by Law,Pre-deployment,Not High-impact,,Science,Generative AI,This application aims to provide the Quality Flight Equipment Division with a strong paper Work Authorization Document (WAD) data extraction capability using AI models. The data inputs include scanned PDF versions of original paper Work Authorization Documents (WADs) stored in the QFED data center. This application will be leveraging Google's Gemini Pro models to accomplish this effort. Users will be able to query critical quality-based information from large numbers of WADs to better understand Task Performance Sheet and Discrepancy Report execution trends and areas for improvement.,This application aims to provide the Quality Flight Equipment Division with a strong paper Work Authorization Document (WAD) data extraction capability using AI models. The data inputs include scanned PDF versions of original paper Work Authorization Documents (WADs) stored in the QFED data center. This application will be leveraging Google's Gemini Pro models to accomplish this effort. Users will be able to query critical quality-based information from large numbers of WADs to better understand Task Performance Sheet and Discrepancy Report execution trends and areas for improvement.,Information on scanned PDF documents.,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-717,Artificial Intelligence Leveraged Information Capture and Exploration (ALICE) (ITMX),LaRC: Langley Research Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Science,NLP,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-445,Instantaneous Clarity of Ambient eNvironment Capability (ICAN-C),MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Science,Generative AI,To determine the applicability of using AI/ML to correct obscured vision. Landing systems where sedement is blown around and/or dusty environments are the primary application.,Improving safety in instances of obscurred vision,Output is clearer image,08/01/2025 0:00:00,In-house Development,,No,NA - local machine,Open source image datasets and custom lunar lander datasets,,No,,[],No,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-718,TxP: Artificial Intelligence for Curation (AI-Cure),MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Science,Classical ML,The AI-CURE project will integrate advanced AI and machine learning models to automate and standardize data curation across NASA’s SMD databases.,"This will result in cost savings, faster data availability, improved data quality, and better support for NASA’s open science initiatives. This project enables NASA to advance data curation processes, accelerating scientific discovery while reducing manual effort and operational costs.",curated data,,,,,,,,,,[],,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-545,Implement machine learning in NMIS to assist with mishap coding,OSMA: Office of the Chief Safety & Mission Assurance,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Science,Classical ML,Leverage Machine Learning to train computers to review mishap and close call data in NMIS to suggest event coding characteristics to help mishap program managers classify events more efficiently.,"Reduce manual work, increase time and efficiency, and free up skilled subject matter experts for more complex tasks.",Suggested mishap findings and mishap event classifications.,03/30/2026 0:00:00,In-house Development,,Yes,Code V DATA CENTER,"Mishap event data, finding data, corrective action data, mishap classification data",,No,,[],Yes,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-746,AI-enabled Risk-Informed Assessment Selection (RIAS) tool,OSMA: Office of the Chief Safety & Mission Assurance,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pilot,Not High-impact,,Other (use other text field),Generative AI,"This project leverages LLM-based tools to automate data ingestion, risk trend detection and scoring, and compliance determination across a variety of NASA applicable data. The innovative approach aims to streamline risk identification and prioritization while positioning our team at the forefront of AI-enabled risk management practices.",Leverage a wide range of data to identify risk trends and prioritize areas for assessment and risk reduction.,"Prioritized assessment candidates, potential areas of mission risk.",,In-house Development,,No,,"Lessons learned data, mishap data, risk data, assessment data, project data.",,No,,[],Yes,,,,,,,,,,[]
NASA,National Aeronautics and Space Administration,NASA-747,AI-Assisted Analysis Across the IV&V and Software Assurance Lifecycle,OSMA: Office of the Chief Safety & Mission Assurance,agency-caio@mail.nasa.gov,Yes - Disclosure Risk,Pre-deployment,Not High-impact,,Other (use other text field),Generative AI,"Leverage opportunities to automate overly manual analysis tasks, with a goal of amplifying productiivity and efficiency, allowing employees to free up their time for more complex tasks.","Reduce false positives in static analysis, trace design to code, identify issues, generate comments, requirements/design traceability, gap detection, change impact analysis, completeness/correctness checks, Generate edge/off-nominal test cases, identify missing tests, assess requirement flow-down..","Insights into potential software defects and anomolies, impacts of vulnerabilities on flight assets, better understanding of software complexities and risks to focus IV&V and software assurance services.",,,,,,,,,,[],,,,,,,,,,,[]
